ST,YEAR,POPULA,INCOME,BRANCH,NOFACIL,N_TOTLN,N_TOTRE,N_REFRM,N_RERES,N_REOTH,N_COLLAT,N_OTHLN,N_OTHLNI,N_TOTINV,N_GOVTSEC,N_OTHSEC,N_CASH,N_OTHASS,N_TOTASS,N_TOTDEP,N_DEPIBK,N_DEPGOVT,N_DEPOTHD,N_DEPOTHT,N_BORR,N_BKNOTES,N_OTHLIAB,N_CAP,N_SURP,N_TOTLIAB,N_NOBNKS,A_TOTLN,A_TOTRE,A_REFRM,A_RERES,A_REOTH,A_OTHLNI,A_TOTINV,A_GOVTSEC,A_OTHSEC,A_CASH,A_OTHASS,A_TOTASS,A_TOTDEP,A_DEPIBK,A_DEPGOVT,A_DEPOTHD,A_DEPOTHT,A_BORR,A_BKNOTES,A_OTHLIAB,A_CAP,A_SURP,A_TOTLIAB,A_NOBNKS,N_INTD,N_INTDLN,N_INTDINV,N_INTIBK,N_XCCOLL,N_FXPROF,N_INSUR,N_TRUST,N_SECPROF,N_OTHEARN,N_GRSEARN,N_SALARY,N_INTDBOR,N_INTDEP,N_INTBKD,N_INTDD,N_INTTD,N_TAX,N_OTHEXP,N_TOTEXP,N_RECCOA,N_RECLD,N_RECSEC,N_CHGLN,N_CHGSEC,N_CHGFIX,N_CHGTRU,N_OTHLOSS,N_CHGFX,N_CHGTOT,N_DIVID,N_FAIL,C_FAIL,N_FAILASS,C_FAILASS,A_DEBITS
LA,1943,2455552,-1,-1,-1,86533,12928,1384,7085,4459,-3,11793,0,367748,361650,6098,212489,14034,680804,641201,146829,39903,375447,79022,0,0,4163,14823,20617,680804,30,126388,27334,5352,14565,7417,14123,506665,498216,8449,346420,20677,1000150,937339,176131,53012,582544,125652,0,0,4658,24965,33188,1000150,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MA,1943,4425618,-1,-1,-1,522142,54664,666,32385,21613,-3,21874,76143,1519534,1461425,58109,617894,50207,2709777,2476416,322758,258219,1632650,262789,535,0,19195,73118,140513,2709777,124,1632805,1032652,6579,801089,224984,31208,3525086,3137520,387566,921452,133741,6213084,5620415,364062,322906,2233269  2,700178,1535,0,33984   1,9359,447791,6213084,389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MD,1943,1964217,-1,-1,-1,57785,19110,3299,12730,3081,-3,4092,6206,402243,387670,14573,151522,6477,618027,581861,84236,63418,334035,100172,0,0,1830,13329,21007,618027,63,188733,88048,9522,52864,25662,9288,981637,906461,75176,343122,27065,1540557,1420634,116017,106149,707431,491037,0,0,4136,34873,80914,1540557,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ME,1943,866665,-1,-1,-1,27150,7659,453,5580,1626,-3,4964,2110,115126,103080,12046,48483,2083,192842,174099,6964,6254,97414,63467,0,0,346,7779,10618,192842,35,87551,47022,1730,36746,8546,9776,325522,268070,57452,96807,9695,519575,463590,8946,11206,172498,270940,0,0,892,16083,39010,519575,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MI,1943,5568559,-1,-1,-1,242461,83473,2275,61440,19758,-3,11745,24461,1254976,1183572,71404,539923,14579,2051939,1959015,144521,157783,1273013,383698,200,0,5186,37959,49579,2051939,75,487717,217608,18734,161254,37620,29076,2117944,2006067,111877,922383,34050,3562094,3366938,168470,212541,2000775,985152,200,0,9708,86240,99008,3562094,451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MN,1943,2848045,-1,-1,-1,218380,33269,4391,24925,3953,-3,27245,28920,799358,771884,27474,365917,15669,1399324,1305259,247243,120870,712316,224830,0,0,5647,36381,52037,1399324,185,342495,100639,21257,66046,13336,30277,1049166,998419,50747,483020,21653,1896334,1762870,250315,138225,911966,462364,0,0,6243,51322,75899,1896334,673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MO,1943,3834879,-1,-1,-1,222465,40569,3297,31182,6090,-3,17465,24296,640795,610301,30494,357925,8585,1229770,1162576,362724,69881,615340,114631,0,0,3099,27768,36327,1229770,83,539180,149418,19220,103926,26272,23158,1425009,1330153,94856,826247,27573,2818009,2629835,657320,157945,1479215,335355,2510,0,9827,83882,91955,2818009,600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MS,1943,2182330,-1,-1,-1,14735,4455,1016,2267,1172,-3,2324,1844,71984,71112,872,51562,1981,140262,131309,11992,11540,83804,23973,0,0,185,4242,4526,140262,23,61083,15909,5779,7015,3115,6789,197872,196060,1812,173272,5598,437825,406708,27560,20250,287773,71125,0,0,507,15327,15283,437825,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MT,1943,568745,-1,-1,-1,18089,1930,302,1176,452,-3,814,1086,78897,76306,2591,46730,2191,145907,136419,9165,6398,97732,23124,0,0,176,4465,4847,145907,41,45181,5312,864,3586,862,1518,135992,131694,4298,87726,3258,272157,254259,16349,13398,181693,42819,0,0,343,8288,9267,272157,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NC,1943,3712151,-1,-1,-1,41494,4922,870,2918,1134,-3,4532,7561,126498,125245,1253,87394,3390,258776,241943,18334,13574,173589,36446,0,0,728,6700,9405,258776,44,179635,40570,12552,15087,12931,70891,527550,511416,16134,320899,15683,1043767,969996,160975,62075,602462,144484,433,0,6800,24575,41963,1043767,226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ND,1943,635162,-1,-1,-1,20653,3024,324,2293,407,-3,937,1921,54943,53109,1834,29184,1839,106619,99473,7167,5225,64873,22208,0,0,237,3229,3680,106619,43,49288,4471,754,3210,507,3216,132567,130000,2567,64791,2591,249237,232406,9555,10365,154806,57680,0,0,318,8270,8243,249237,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NE,1943,1318729,-1,-1,-1,86474,10007,3217,4961,1829,-3,8890,5425,306583,295983,10600,212948,7000,613005,579132,154355,31541,343209,50027,0,0,857,14415,18601,613005,132,126612,14812,6152,6621,2039,9914,366458,354136,12322,290082,8407,791559,742374,155303,38029,477818,71224,80,0,1053,22591,25461,791559,413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NH,1943,503685,-1,-1,-1,27979,6734,537,4935,1262,-3,3481,3048,68120,60294,7826,35662,2127,133888,118217,6030,7912,78971,25304,110,0,221,6123,9217,133888,52,98035,70203,1092,65121,3990,4061,233592,167717,65875,51548,9228,392403,348786,6220,7937,86167,248462,110,0,356,7568,35583,392403,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NJ,1943,4352163,-1,-1,-1,226934,113208,3131,94508,15569,-3,21176,34365,887179,827976,59203,330150,34429,1478692,1359384,17264,102275,743014,496831,100,0,2420,54996,61792,1478692,222,629762,393882,4519,324728,64635,32510,2028745,1842263,186482,646963,107838,3413308,3126182,37969,202358,1530322  1,355533,864,0,7975   1,20712,157575,3413308,378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NM,1943,572815,-1,-1,-1,16307,4742,366,3589,787,-3,297,1434,49678,48419,1259,42906,781,109672,104633,6607,5690,78307,14029,0,0,18,2125,2896,109672,22,21857,5515,494,4123,898,498,64238,62816,1422,57215,979,144289,137434,6633,6813,106089,17899,0,0,25,3060,3770,144289,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NV,1943,123299,-1,-1,-1,12960,7333,239,5832,1262,-3,92,1485,50673,50175,498,18441,1138,83212,77992,960,5267,50819,20946,0,0,1394,1360,2466,83212,6,14803,8138,309,6148,1681,181,56490,55941,549,21294,1349,93936,88071,960,5499,58260,23352,0,0,1406,1715,2744,93936,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NY,1943,13870995,-1,-1,-1,1692815,119680,7654,81207,30819,-3,84671,133446,7138434,6796887,341547,2223820,145435,11200504,10211133,1564140,1310616,6494905,841472,1065,0,212505   2,72675,503126,11200504,415,7719627,3225134,19470,2538461,667203,208269,20852538,19866590,985948,6053925,712355,35338445,32094653,3940237,3328576 1,6878368  7,947472,20175,0,345769   7,80390,2097458,35338445,844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
OH,1943,7204177,-1,-1,-1,343838,111643,13670,84140,13833,-3,48776,30733,1257668,1200313,57355,620909,35735,2258150,2097406,180149,137989,1308043,471225,0,0,5672,72718,82354,2258150,240,867945,365703,38222,277331,50150,60167,2831857,2678506,153351,1284134,76902,5060838,4707612,275580,288039,2741097  1,402896,75,0,17939   1,62290,172922,5060838,684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
OK,1943,2305019,-1,-1,-1,137388,20422,3024,16248,1150,-3,5448,14524,348652,342221,6431,301640,10965,798645,739055,116100,50124,518854,53977,0,0,1465,24066,34059,798645,202,166527,23048,4079,17559,1410,6335,395170,388461,6709,356421,11820,929938,859771,117803,56066,619303,66599,0,0,1769,28923,39475,929938,387,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
OR,1943,1204421,-1,-1,-1,78115,9946,742,6731,2473,-3,2428,17896,459457,455141,4316,184328,9144,731044,698247,35306,46826,454794,161321,0,0,2139,10455,20203,731044,26,90025,16710,1428,10953,4329,3107,499145,493477,5668,205933,9610,804713,767403,35532,48286,496257,187328,0,0,2226,12421,22663,804713,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PA,1943,10075864,-1,-1,-1,696985,230293,17201,164116,48976,-3,67744,67020,2748726,2458073,290653,1146521,97729,4689961,4217133,528928,235063,2426374  1,26768,40,0,18540   1,58253,295995,4689961,671,1400572,497401,24243,360871,112287,92784,5240492,4448286,792206,1870032,260686,8771782,7789178,632691,474234,4300304  2,381949,205,0,38870   2,83623,659906,8771782,1052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RI,1943,736056,-1,-1,-1,37913,4737,165,3927,645,-3,11379,1123,137613,130973,6640,46477,1640,223643,205254,10480,25345,152445,16984,0,0,716,7404,10269,223643,12,153959,93212,656,74720,17836,17366,492587,408765,83822,115937,22043,784526,705989,13139,36486,293005,363359,0,0,6940,19354,52243,784526,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SC,1943,1962520,-1,-1,-1,37725,5200,490,2401,2309,-3,6405,2838,108168,105767,2401,84643,3135,233671,220375,13236,11324,171657,24158,0,0,1038,5590,6668,233671,22,58139,11118,1614,6778,2726,7863,152604,148794,3810,135653,4257,350653,327650,14642,14103,256520,42385,0,0,1263,9917,11823,350653,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SD,1943,645879,-1,-1,-1,23168,4641,734,2994,913,-3,1062,2089,67081,66087,994,35655,1980,127884,119827,8120,7559,85215,18933,0,0,338,3578,4141,127884,37,47939,7498,1915,4318,1265,1445,102775,101168,1607,72104,2811,225629,210108,8900,11486,154134,35588,13,0,359,7235,7914,225629,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TN,1943,3023859,-1,-1,-1,139915,16107,3378,8060,4669,-3,15169,18349,474945,459320,15625,275657,13492,904009,850476,221945,68337,434328,125866,0,0,2536,22771,28226,904009,69,207310,38754,12530,18843,7381,19723,624235,603679,20556,403094,21241,1255880,1172022,231543,92866,651088,196525,2,0,5451,37262,41143,1255880,298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TX,1943,6779003,-1,-1,-1,478358,35655,7736,15445,12474,-3,28438,41381,1323739,1301068,22671,1075287,42888,2920272,2741441,480163,192383,1866478,202417,25,0,6242,73555,99009,2920272,439,589474,51045,10311,24115,16619,31220,1511560,1483737,27823,1286520,57581,3445135,3218589,495363,214744,2264067,244415,25,0,7356,92866,126299,3445135,851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
UT,1943,588660,-1,-1,-1,22503,9654,590,6985,2079,-3,1873,1414,98902,96808,2094,52399,2622,176426,167251,25428,8578,102820,30425,0,0,337,3525,5313,176426,12,58622,28644,2485,19402,6757,4301,181589,178210,3379,108339,3676,352226,329964,37598,10938,195593,85835,0,0,661,9181,12420,352226,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
VA,1943,2855823,-1,-1,-1,144273,47890,6251,32019,9620,-3,16316,24712,397512,381691,15821,230003,13147,784935,725971,86445,65444,405260,168822,150,0,1861,24363,32590,784935,130,272445,95709,14044,63760,17905,23719,620949,590838,30111,373782,23848,1291024,1187724,121004,92221,652953,321546,150,0,4737,44231,54182,1291024,315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
VT,1943,364688,-1,-1,-1,25838,11574,1736,8639,1199,-3,2340,3065,39178,32614,6564,22495,1478,88989,78298,1049,1506,38396,37347,0,0,261,4810,5620,88989,39,89377,65597,11544,47350,6703,3752,99160,80437,18723,36144,8898,233579,204470,1382,2441,56602,144045,0,0,679,11825,16605,233579,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WA,1943,1908247,-1,-1,-1,173044,30754,3695,20894,6165,-3,7194,18048,661288,651440,9848,294817,10139,1139288,1084087,76358,60246,735664,211819,0,0,3528,22112,29561,1139288,43,232199,74532,5122,48550,20860,8348,800955,780583,20372,344419,12091,1389664,1317657,77734,64418,824732,350773,0,0,4449,26266,41292,1389664,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WI,1943,3223881,-1,-1,-1,112323,33515,2902,25242,5371,-3,5219,11213,606107,579313,26794,252931,12931,984292,921492,103768,78130,504837,234757,0,0,2121,26391,34288,984292,98,298777,130196,25431,85598,19167,11815,1026632,950998,75634,465332,24409,1815150,1686708,118304,116433,885386,566585,0,0,2936,62852,62654,1815150,563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WV,1943,1932473,-1,-1,-1,53627,22900,1668,15877,5355,-3,10037,5845,151389,143967,7422,103978,5986,314980,288673,22960,18892,180965,65856,0,0,411,11304,14592,314980,77,107328,47549,4943,33045,9561,12363,276510,263436,13074,180425,12803,577066,522960,32933,34915,326247,128865,0,0,1015,24248,28843,577066,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WY,1943,262069,-1,-1,-1,15527,3972,630,2790,552,-3,460,902,37064,36161,903,32588,866,86045,79323,6904,3413,53674,15332,0,0,109,2522,4091,86045,26,24763,6274,943,4370,961,573,47317,46030,1287,46920,1207,120207,110295,7511,4479,75416,22889,0,0,133,3805,5974,120207,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,1944,91210,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AL,1944,2922347,-1,-1,-1,108691,16239,1597,6923,7719,-3,8335,11188,370402,362248,8154,180541,9993,669627,627998,48437,91117,378084,110360,0,0,2106,16902,22621,669627,66,164373,27316,4456,13458,9402,9917,506257,495968,10289,265338,13067,949035,888138,59509,119488,553109,156032,97,0,2495,24799,33506,949035,217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AR,1944,1933338,-1,-1,-1,42415,4826,1450,1974,1402,-3,6065,5935,161335,157571,3764,93304,2434,299488,281919,37744,29782,179817,34576,0,0,541,6483,10545,299488,51,84316,11524,3582,5775,2167,7253,272228,266628,5600,181372,3937,541853,509628,47264,46707,358778,56879,0,0,638,13225,18362,541853,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AZ,1944,587388,-1,-1,-1,37172,8381,254,7998,129,-3,373,3966,109008,107939,1069,49405,2111,197696,189743,2240,18066,138852,30585,0,0,685,3425,3843,197696,5,46422,13236,480,12118,638,739,146834,145029,1805,68110,2592,263958,252056,2512,23095,174930,51519,0,0,840,4747,6315,263958,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CA,1944,8193787,-1,-1,-1,1351928,626657,45188,512148,69321,-3,32460,92416,4411549,4322293,89256,1457339,101067,7321883,6932076,230150,735580,3686802  2,279544,0,0,33677   1,34299,221831,7321883,91,1901493,970324,61865,773923,134536,46350,5986132,5850752,135380,1984969,132887,10005481,9454820,359549,951758,4755965  3,387548,0,0,48079   1,91523,311059,10005481,199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CO,1944,1200037,-1,-1,-1,69691,12278,1659,8379,2240,-3,8230,2843,347930,336682,11248,201692,3716,623029,587734,69864,55526,360835,101509,200,0,997,11335,22763,623029,77,95949,16924,2116,11670,3138,8572,428396,414978,13418,251157,4843,780345,734611,73555,66368,462444,132244,200,0,1562,14864,29108,780345,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CT,1944,1822742,-1,-1,-1,78056,24147,540,19997,3610,-3,5357,12448,516254,501476,14778,176941,10671,781922,732101,16708,163925,424085,127383,200,0,2242,21002,26377,781922,51,468961,355464,2844,313474,39146,8921,1632314,1475531,156783,360181,43586,2505042,2291162,34096,272574,765846  1,218646,240,0,5961,41957,165722,2505042,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DC,1944,715570,-1,-1,-1,56607,19762,24,14708,5030,-3,2298,9417,300703,289629,11074,125496,7295,490101,465460,40563,61444,294912,68541,0,0,1145,7800,15696,490101,9,112199,47665,45,33214,14406,3646,479593,460661,18932,206583,17883,816258,761955,42658,102970,465620,150707,0,0,2312,17592,34399,816258,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE,1944,286049,-1,-1,-1,6075,2522,777,1464,281,-3,891,61,19044,16828,2216,6243,592,31954,26714,170,1601,15992,8951,690,0,47,1479,3024,31954,13,65125,30907,2989,22750,5168,2054,326347,272720,53627,83665,5087,480224,426008,3896,66614,252356,103142,690,0,1414,11560,40552,480224,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FL,1944,2207857,-1,-1,-1,151298,12899,632,7103,5164,-3,25538,6027,558172,548936,9236,325180,14238,1048888,999500,154930,174360,564545,105665,0,0,2366,19605,27417,1048888,55,184201,23053,2486,12724,7843,27228,754953,744732,10221,453410,17478,1410042,1342366,157771,214954,800567,169074,1,0,2748,26668,38259,1410042,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GA,1944,3248313,-1,-1,-1,226780,8627,1388,4939,2300,-3,18480,13495,428927,416422,12505,230595,9498,895800,853733,129006,188231,436661,99835,0,0,2432,17123,22512,895800,48,353145,42320,7336,28809,6175,23088,656732,639037,17695,381751,17054,1408682,1323248,165698,247586,719344,190620,317,0,5806,34001,45310,1408682,351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HA,1944,452042,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IA,1944,2571071,-1,-1,-1,79134,12278,1659,8379,2240,-3,3015,2843,373906,363490,10416,176751,5751,635542,603137,115228,81616,316822,89471,0,0,742,12725,18938,635542,100,273828,94404,42474,43754,8176,8797,981279,959273,22006,476122,11843,1743072,1647867,130692,194751,992983,329441,0,0,1019,38142,56044,1743072,652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ID,1944,549505,-1,-1,-1,27343,10190,700,8016,1474,-3,1272,1334,137987,137264,723,54627,1436,221393,211242,3759,17698,146582,43203,0,0,409,4260,5482,221393,16,35754,11642,1161,8643,1838,1475,169329,168189,1140,72352,1743,279178,265765,4295,20641,186940,53889,0,0,417,5520,7476,279178,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IL,1944,8213644,-1,-1,-1,1157720,102599,10720,77815,14064,-3,53251,75059,4646853,4497701,149152,1635885,54212,7494670,7063188,1073919,1089879,3938258,961132,0,0,32715   1,65476,233291,7494670,346,1459730,174106,20980,132439,20687,57896,6294556,6030426,264130,2226927,76407,10057620,9459573,1221145,1406495,5327158  1,504775,0,0,42827   2,22669,332551,10057620,832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
